title,type,release_date,secondary_types,track_count,label
My Guitar,Single,2023,,1,[no label]
Takedown,Single,2025-06-20,Soundtrack,2,JYP Entertainment
LIL FANTASY vol.1,Album,2025-09-12,,10,JYP Entertainment
