title,type,release_date,secondary_types,track_count,label
J:/2017/mixtape,EP,2017-04-26,Mixtape/Street,7,
3Days,EP,2017-08-16,Mixtape/Street,9,
Horizon,EP,2017-12-20,Mixtape/Street,8,
Start Line,Single,2018-01-18,,1,
ZONE,Single,2018-09-18,,1,
