title,type,release_date
New Jeans,EP,2022-08-01
Ditto,Single,2022-12-19
OMG,Single,2023-01-02
Zero,Single,2023-04-03
Be Who You Are (Real Magic),Single,2023-05-31
Super Shy,Single,2023-07-07
Get Up,EP,2023-07-21
너의 시간 속으로 OST,Single,2023-09-01
GODS,Single,2023-10-04
NewJeans × MY DEMON,Single,2023-11-24
How Sweet & Bubble Gum,Single,2024-05-24
Supernatural,Single,2024-06-21
